snapshot,1071763866_Transformer0,1071746625_Transformer0,1072051579_Transformer0,1071746557_Transformer0,1072040213_Transformer0
2021-07-01 00:00:00,9.75819,9.72876,0.1837,0.213193,0.109853
2021-07-01 01:00:00,9.74681,9.71772,0.165301,0.198223,0.099755
2021-07-01 02:00:00,9.73836,9.70952,0.151644,0.187111,0.092258
2021-07-01 03:00:00,9.73728,9.70847,0.149898,0.18569,0.0913
2021-07-01 04:00:00,9.61955,9.59074,0.145144,0.181823,0.08869
2021-07-01 05:00:00,8.30997,8.2829,0.136257,0.174591,0.083811
2021-07-01 06:00:00,5.80497,5.78066,0.143785,0.180717,0.087945
2021-07-01 07:00:00,2.88667,2.86532,0.162746,0.196144,0.09835
2021-07-01 08:00:00,0.326882,0.307913,0.189166,0.21764,0.112852
2021-07-01 09:00:00,0.00759767,-0.00759767,0.205531,0.230956,0.121835
2021-07-01 10:00:00,0.00761046,-0.00761046,0.206459,0.231711,0.122345
2021-07-01 11:00:00,0.0076693,-0.0076693,0.210722,0.235179,0.124684
2021-07-01 12:00:00,0.00786464,-0.00786464,0.224877,0.246696,0.132455
2021-07-01 13:00:00,0.00958618,-0.00958618,0.213554,0.237484,0.126239
2021-07-01 14:00:00,0.00760521,-0.00760521,0.206081,0.231403,0.122138
2021-07-01 15:00:00,0.00743538,-0.00743538,0.193778,0.221393,0.115386
2021-07-01 16:00:00,0.00913161,-0.00913161,0.191453,0.219501,0.114107
2021-07-01 17:00:00,2.2596,2.23799,0.205136,0.230635,0.121619
2021-07-01 18:00:00,4.29476,4.26985,0.243899,0.262174,0.142895
2021-07-01 19:00:00,7.29479,7.26577,0.269208,0.282766,0.156786
2021-07-01 20:00:00,9.15187,9.12172,0.268848,0.282473,0.156589
2021-07-01 21:00:00,9.78439,9.75383,0.255084,0.271274,0.149035
2021-07-01 22:00:00,9.7848,9.75434,0.246579,0.264355,0.144368
2021-07-01 23:00:00,9.78559,9.75534,0.228142,0.249353,0.134248
